Fecha_Deteccion,Contrato_Sospechoso,Organismo,Indicador_Riesgo,Evidencia_Legal_BOE,Teoria_Aplicada,link
2026-07-13,Adjudicació de l'autortizació d'ocupació de domini públic per l'explotació per tercers d'instal·lacions temporals a diverses platges del terme des Mercadal (3 lots).,Id licitación: E72/457/2026; Órgano de Contratación: Alcaldía del Ayuntamiento de Es Mercadal; Impor,Acuerdo Colusorio / Discrecionalidad,"Decreto-ley 14/2020, de 7 de agosto, del Consell, de medidas para acelerar la implantación de instalaciones para el aprovechamiento de las energías renovables por la emergencia climática y la necesidad de la urgente reactivación económica.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=1VmQsPoGVHm2gkLQ8TeYKA%3D%3D
2026-07-13,Adjudicació de l'autortizació d'ocupació de domini públic per l'explotació per tercers d'instal·lacions temporals a diverses platges del terme des Mercadal (3 lots).,Id licitación: E72/457/2026; Órgano de Contratación: Alcaldía del Ayuntamiento de Es Mercadal; Impor,Acuerdo Colusorio / Discrecionalidad,"Ley 9/2016, de 28 de octubre, de Regulación de los Procedimientos de Emergencia Ciudadana en la Administración de la Comunitat Valenciana.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=1VmQsPoGVHm2gkLQ8TeYKA%3D%3D
2026-07-13,Adjudicació de l'autortizació d'ocupació de domini públic per l'explotació per tercers d'instal·lacions temporals a diverses platges del terme des Mercadal (3 lots).,Id licitación: E72/457/2026; Órgano de Contratación: Alcaldía del Ayuntamiento de Es Mercadal; Impor,Acuerdo Colusorio / Discrecionalidad,"Ley 24/2015, de 29 de julio, de medidas urgentes para afrontar la emergencia en el ámbito de la vivienda y la pobreza energética.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=1VmQsPoGVHm2gkLQ8TeYKA%3D%3D
2026-07-13,Adjudicació de l'autortizació d'ocupació de domini públic per l'explotació per tercers d'instal·lacions temporals a diverses platges del terme des Mercadal (3 lots).,Id licitación: E72/457/2026; Órgano de Contratación: Alcaldía del Ayuntamiento de Es Mercadal; Impor,Acuerdo Colusorio / Discrecionalidad,"Decreto-ley 1/2022, de 22 de abril, del Consell, de medidas urgentes en respuesta a la emergencia energética y económica originada en la Comunitat Valenciana por la guerra en Ucrania.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=1VmQsPoGVHm2gkLQ8TeYKA%3D%3D
2026-07-13,Adjudicació de l'autortizació d'ocupació de domini públic per l'explotació per tercers d'instal·lacions temporals a diverses platges del terme des Mercadal (3 lots).,Id licitación: E72/457/2026; Órgano de Contratación: Alcaldía del Ayuntamiento de Es Mercadal; Impor,Acuerdo Colusorio / Discrecionalidad,"Orden ESS/2518/2013, de 26 de diciembre, por la que se regulan los aspectos formativos del contrato para la formación y el aprendizaje, en desarrollo del Real Decreto 1529/2012, de 8 de noviembre, por el que se desarrolla el contrato para la formación y el aprendizaje y se establecen las bases de la formación profesional dual.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=1VmQsPoGVHm2gkLQ8TeYKA%3D%3D
2026-07-13,Actuaciones de Obra Civil ordinarias y/o de urgencia que se necesiten en la ETAP Contraparada y sondeos,Id licitación: 2025/000739 CD 123-2022 L2 08; Órgano de Contratación: Gerencia de la Empresa Municip,Acuerdo Colusorio / Discrecionalidad,"Decreto-ley 14/2020, de 7 de agosto, del Consell, de medidas para acelerar la implantación de instalaciones para el aprovechamiento de las energías renovables por la emergencia climática y la necesidad de la urgente reactivación económica.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=JxpEkzsPEc7jHF5qKI4aaw%3D%3D
2026-07-13,Actuaciones de Obra Civil ordinarias y/o de urgencia que se necesiten en la ETAP Contraparada y sondeos,Id licitación: 2025/000739 CD 123-2022 L2 08; Órgano de Contratación: Gerencia de la Empresa Municip,Acuerdo Colusorio / Discrecionalidad,"Ley 9/2016, de 28 de octubre, de Regulación de los Procedimientos de Emergencia Ciudadana en la Administración de la Comunitat Valenciana.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=JxpEkzsPEc7jHF5qKI4aaw%3D%3D
2026-07-13,Actuaciones de Obra Civil ordinarias y/o de urgencia que se necesiten en la ETAP Contraparada y sondeos,Id licitación: 2025/000739 CD 123-2022 L2 08; Órgano de Contratación: Gerencia de la Empresa Municip,Acuerdo Colusorio / Discrecionalidad,"Ley 24/2015, de 29 de julio, de medidas urgentes para afrontar la emergencia en el ámbito de la vivienda y la pobreza energética.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=JxpEkzsPEc7jHF5qKI4aaw%3D%3D
2026-07-13,Actuaciones de Obra Civil ordinarias y/o de urgencia que se necesiten en la ETAP Contraparada y sondeos,Id licitación: 2025/000739 CD 123-2022 L2 08; Órgano de Contratación: Gerencia de la Empresa Municip,Acuerdo Colusorio / Discrecionalidad,"Decreto-ley 1/2022, de 22 de abril, del Consell, de medidas urgentes en respuesta a la emergencia energética y económica originada en la Comunitat Valenciana por la guerra en Ucrania.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=JxpEkzsPEc7jHF5qKI4aaw%3D%3D
2026-07-13,Actuaciones de Obra Civil ordinarias y/o de urgencia que se necesiten en la ETAP Contraparada y sondeos,Id licitación: 2025/000739 CD 123-2022 L2 08; Órgano de Contratación: Gerencia de la Empresa Municip,Acuerdo Colusorio / Discrecionalidad,"Orden ESS/2518/2013, de 26 de diciembre, por la que se regulan los aspectos formativos del contrato para la formación y el aprendizaje, en desarrollo del Real Decreto 1529/2012, de 8 de noviembre, por el que se desarrolla el contrato para la formación y el aprendizaje y se establecen las bases de la formación profesional dual.",Transferencia de ingresos vía legalidad,https://contrataciondelestado.es/wps/poc?uri=deeplink:detalle_licitacion&amp;idEvl=JxpEkzsPEc7jHF5qKI4aaw%3D%3D
