entidad,n_fondos,importe_total,sog_medio,res_medio,via_medio,score_medio,icr,score_riesgo,nivel_riesgo
A Todo Pulmón Paraguay Respira,2,310000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
ABAAD - Recursos para la Igualdad de Género,1,250000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
ACHNU - Asociación Chilena Pro Naciones Unidas,1,130000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
ACNUDH - Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos,2,550000.0,25.0,44.0,51.5,32.25,2.5,27.8,Medio
ACNUR - Oficina del Alto Comisionado de UNHCR,14,17100000.0,70.71428571428571,58.0,62.07142857142857,54.56428571428571,2.5,46.8,Medio
ACP - Associació Catalana per la Pau,5,2370707.0,33.0,44.0,56.4,36.029999999999994,2.5,31.0,Medio
ADFM,1,300000.0,25.0,44.0,45.0,30.95,2.5,26.7,Medio
AGARESO - Asociación Galega de Reporteiros Solidarios,1,85095.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
"AIDA - Ayuda, Intercambio y Desarrollo",3,1400345.0,31.666666666666668,44.0,48.333333333333336,33.949999999999996,2.5,29.2,Medio
AIETI - Asociación de Investigación y Especialización sobre Temas Iberoamericanos,3,1700597.0,38.333333333333336,44.0,55.0,37.61666666666667,2.5,32.3,Medio
AL AWDA (Union of Health Work Committees),1,350000.0,25.0,44.0,72.0,36.35,2.5,31.3,Medio
ALIARSE - Fundación para la Sostenibilidad y La Equidad,1,200000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
AMCP-SP - Alliance Médicale contre le Paludisme-Santé Population,1,400000.0,25.0,44.0,78.0,37.55,2.5,32.3,Medio
AMIR - Asociación de Mujeres Intibucanas Renovadas,1,224999.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
AMPA,1,352572.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
AMUPROLAGO - Asociación de Municipios del Lago Yojoa y su Area de Influencia,1,349999.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
ANARASD - Asociación Navarra de Amigos y Amigas de la RASD,2,789709.0,35.0,44.0,55.0,36.45,2.5,31.4,Medio
ANCON - Asociación Nacional para la Conservación de la Naturaleza,1,240000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
APAC-NIGER - Association des Professionnelles Africaines de la Communication - Section du Niger,1,194031.0,25.0,44.0,75.0,36.95,2.5,31.8,Medio
APLAN - Autoridad de Planificación del Centro Histórico de San Salvador,1,300000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
ASALE - Asociación de Academias de la Lengua,1,490000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
ASFE - Arquitectura Sin Fronteras,6,5147057.0,45.0,44.0,59.333333333333336,40.81666666666666,2.5,35.1,Medio
ASIES - Asociación de Investigación y Estudios Sociales,2,600000.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
ATTSF - Asociación de Trabajadores,2,1109665.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
AUDA-NEPAD Agency,1,2000000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
AVSI Foundation - Association for Volunteers in International Service,1,300000.0,25.0,44.0,85.0,38.95,2.5,33.5,Medio
Academia de las Artes Ciencias Cine Academia del Cine España,2,36000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Acciona Org Foundation Philippines,1,320100.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Acción Ciudadana,1,200000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Acción contra el Hambre Guatemala,1,1105842.0,45.0,44.0,60.0,40.949999999999996,2.5,35.2,Medio
"Acción, Desarrollo y Sostenibilidad",1,411443.0,25.0,44.0,65.0,34.95,2.5,30.1,Medio
Agence Marocaine de Coopération,1,100000.0,25.0,44.0,75.0,36.95,2.5,31.8,Medio
Agencia de la Cuenca Hidrográfica de Moulaya,1,761657.0,45.0,44.0,45.0,37.949999999999996,2.5,32.6,Medio
AgriCord,1,500000.0,45.0,44.0,45.0,37.949999999999996,2.5,32.6,Medio
Aisha,1,200000.0,25.0,44.0,72.0,36.35,2.5,31.3,Medio
Al Qantara,1,340000.0,25.0,44.0,40.0,29.95,2.5,25.8,Medio
Alcaldía de Pikine,1,900000.0,45.0,44.0,40.0,36.949999999999996,2.5,31.8,Medio
Aldeas Infantiles SOS de España,1,1000000.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
Alianza por la Solidaridad Fundación Española para la Cooperación,9,7449642.0,42.77777777777778,44.0,72.44444444444444,42.66111111111111,2.5,36.6,Medio
"Amigos de la tierra, España",4,2095168.0,35.0,44.0,58.0,37.05,2.5,31.9,Medio
Applied Research Institute,1,900000.0,45.0,44.0,72.0,43.349999999999994,2.5,37.2,Medio
Arbeiter-Samariter-Bund Deutschland,1,500000.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
Artesanías de Colombia S.A.,1,400000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Asamblea de Cooperación por la Paz,6,3834716.0,35.0,44.0,61.833333333333336,37.81666666666666,2.5,32.5,Medio
Asociación Balam ONG,1,473092.0,25.0,44.0,60.0,33.95,2.5,29.2,Medio
Asociación Calam,1,70000.0,25.0,44.0,42.0,30.35,2.5,26.2,Medio
Asociación Ceipaz,1,100000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Asociación Centro Científico Tropical,1,200000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Asociación Ciudad Saludable,1,500000.0,45.0,44.0,50.0,38.949999999999996,2.5,33.5,Medio
Asociación Civil Plan Misiones,3,324999.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Asociación Civil Plan Moxos,3,389999.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Asociación Civil Recíclame Cumple con tu Planeta,1,110000.0,25.0,44.0,50.0,31.95,2.5,27.5,Medio
Asociación Colectiva de Mujeres para el Desarrollo Local,1,500000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Asociación Coordinadora de la Mujer,2,650000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
Asociación Dominicana Pro Bienestar de la Familia (Profamilia),1,300000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Asociación España Con ACNUR,3,2213282.0,68.33333333333333,58.0,55.0,52.31666666666666,2.5,44.8,Medio
Asociación Feminista Kuña Poty,2,275000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Asociación Hermanamiento León (Nicaragua) - Zaragoza (España),1,485000.0,25.0,44.0,68.0,35.55,2.5,30.6,Medio
Asociación Infancia Sin Fronteras,1,506369.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
Asociación Inscripta Con Capacidad Restringida Global (Global Infancia),1,210000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Asociación Menonita para el Desarrollo Económico de Canadá,1,630601.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
Asociación Mobdiun Creative Youth,1,200000.0,25.0,44.0,42.0,30.35,2.5,26.2,Medio
Asociación Mozambicana de Armadores,2,350000.0,25.0,44.0,68.0,35.55,2.5,30.6,Medio
Asociación PROFAMILIA,1,650000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Asociación Promoción Claretiana de Cooperación para el Desarrollo,1,313720.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Asociación SETEM Hego Haizea,1,452009.0,25.0,44.0,48.0,31.55,2.5,27.2,Medio
Asociación Solidaria Andaluza de Desarrollo,2,1311638.0,35.0,44.0,55.0,36.45,2.5,31.4,Medio
Asociación Solidaridad Periferias,1,88000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Asociación Suiza para el Desarrollo y la Cooperación Helvetas Guatemala,1,900000.0,45.0,44.0,60.0,40.949999999999996,2.5,35.2,Medio
Asociación Vredeseilanden-Coopibo,1,900000.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
Asociación de Mujeres Afrocolombianas AMUAFROC,1,155000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
Asociación por la Paz y el Desarrollo,1,580000.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Associacao Nacional de Quilombos para Cooperacao - Negra Anastacia,1,200000.0,55.0,58.0,55.0,47.65,2.5,40.9,Medio
Associacao Preparatoria de Cidadaos do Amanha Instituto Aprecia,1,200000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Associació Acció Internacional per la Pau,2,870087.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Associació Cooperacció,1,688943.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
Association Droit et Justice,1,450000.0,55.0,58.0,45.0,45.65,2.5,39.2,Medio
Association Ennakhil,1,320000.0,25.0,44.0,45.0,30.95,2.5,26.7,Medio
Association Leb Relief,1,750000.0,45.0,44.0,70.0,42.949999999999996,2.5,36.9,Medio
"Ayuda en Acción Mexico, Asociación Civil",1,400000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
"Azimut 360, SCCL",1,402978.0,25.0,44.0,45.0,30.95,2.5,26.7,Medio
BID - Banco Interamericano de Desarrollo,3,3000000.0,68.33333333333333,58.0,70.0,55.31666666666666,2.5,47.4,Medio
"Bantay Kita, INC",1,110000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
Built Environment Collective,1,200000.0,25.0,44.0,62.0,34.35,2.5,29.6,Medio
CACI - Conferencia De Autoridades,1,350000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
CAJAR - Corporación Colectivo de Abogados y Abogadas José Alvear Restrepo,1,100000.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
CANATUR - Cámara Nacional de Turismo de Perú,1,600000.0,45.0,44.0,50.0,38.949999999999996,2.5,33.5,Medio
CAPMAS - Agencia Central de Movilización Pública y Estadística,1,267000.0,55.0,58.0,62.0,49.05,2.5,42.1,Medio
CATIE - Centro Agronómico Tropical de Investigación y Enseñanza de Panama,1,645730.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
CAWTAR - Center for Arab Women Training and Research,1,298000.0,25.0,44.0,42.0,30.35,2.5,26.2,Medio
CEAMSO - Centro de Estudios Ambientales y Sociales,3,1977000.0,31.666666666666668,44.0,55.0,35.28333333333333,2.5,30.4,Medio
CECJ - Coordinadora Estatal de Comercio Justo,1,140615.0,25.0,44.0,55.0,32.95,2.5,28.4,Medio
CEDDHH - Comisión Etíope de DDHH,1,150000.0,25.0,44.0,65.0,34.95,2.5,30.1,Medio
CEFREC - Fundación para el desarrollo de la comunicación intercultural,1,200000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
CEJIS - Centro de Estudios Juridícos e Investigación Social,1,160000.0,25.0,44.0,52.0,32.35,2.5,27.9,Medio
CERAI - Centro de Estudios Rurales y de Agricultura Internacional,4,2372840.0,35.0,44.0,55.0,36.45,2.5,31.4,Medio
CERAI - Centro de Estudios Rurales y de Agricultura Internacional Mauritania,1,985728.0,45.0,44.0,55.0,39.949999999999996,2.5,34.3,Medio
CESAL,6,4531670.0,45.0,44.0,67.5,42.449999999999996,2.5,36.5,Medio
CHUB7 - United Nations,5,2050000.0,29.0,44.0,70.0,37.35,2.5,32.1,Medio
CIAT - Centro Interamericano de Administra Tributarias,1,200000.0,25.0,44.0,70.0,35.95,2.5,30.9,Medio
CIAT - Centro Internacional de Agricultura Tropical,2,1715373.0,45.0,44.0,68.0,42.55,2.5,36.5,Medio
