id,titulo,entidad,sectores_crs,pais_region,importe_eur,fecha,fuente,url_recurso
z11-25-01-05108,Prevención de la violencia de género facilitada por la tecnología,ONU Mujeres,15180 - Prevención y eliminación de violencia contra mujeres y niñas,"Bolivia, México",800000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-05108
z11-25-01-05107,Iniciativa global de ciudades seguras para mujeres y niñas,ONU Mujeres,15180 - Prevención y eliminación de violencia contra mujeres y niñas; 15160 - Derechos humanos,"Bolivia, Colombia, Costa Rica, Ecuador, El Salvador, Etiopía, Níger, Panamá, Perú, Venezuela",1400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-05107
z11-25-01-05106,Ciudades y espacios públicos seguros para las mujeres en Túnez,ONU Mujeres,15180 - Prevención y eliminación de violencia contra mujeres y niñas,Túnez,300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-05106
z11-25-01-05105,Fortalecimiento de las políticas públicas de género en Etiopía,ONU Mujeres,15170 - Organizaciones e instituciones de la igualdad de las mujeres; 16062 - Capacitación estadística,Etiopía,400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-05105
z11-25-01-05104,Prevención y respuesta a la violencia de género en Níger,ONU Mujeres,15180 - Prevención y eliminación de violencia contra mujeres y niñas,Níger,300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-05104
z11-25-01-05103,Voz y liderazgo de las mujeres en Haití,ONU Mujeres,15150 - Fortalecimiento de la sociedad civil,Haití,500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-05103
z11-25-01-05102,Inclusión digital y empoderamiento económico de mujeres en Cuba,ONU Mujeres,15160 - Derechos humanos; 15170 - Organizaciones e instituciones de la igualdad de las mujeres; 25030 - Servicios de desarrollo empresarial,Cuba,400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-05102
z11-25-01-05101,Fortalecimiento de la participación política de las mujeres en América Latina,ONU Mujeres,15170 - Organizaciones e instituciones de la igualdad de las mujeres,"Bolivia, Ecuador, Guatemala, Perú",400000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-05101
z11-25-01-04906,Derechos sexuales y reproductivos de mujeres y niñas en Afar,Fondo de Población de Naciones Unidas,13020 - Atención a la salud reproductiva,Etiopía,800000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04906
z11-25-01-04905,Educación sexual integral para una juventud informada,Fondo de Población de Naciones Unidas,13030 - Planificación familiar; 15180 - Prevención y eliminación de violencia contra mujeres y niñas; 13020 - Atención a la salud reproductiva; 15170 - Organizaciones e instituciones de la igualdad de las mujeres,Países en Vías de Desarrollo (No Especificado),300000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04905
z11-25-01-04904,Prevención del matrimonio infantil y uniones forzadas,Fondo de Población de Naciones Unidas,15160 - Derechos humanos,América Latina y Caribe (No Especificado),1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04904
z11-25-01-04903,Inclusión social y prevención de la violencia para personas vulnerables,Fondo de Población de Naciones Unidas,15180 - Prevención y eliminación de violencia contra mujeres y niñas,Países en Vías de Desarrollo (No Especificado),700000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04903
z11-25-01-04901,Prevención de violencia de género y salud sexual y reproductiva en emergencias,Fondo de Población de Naciones Unidas,72050 - Coordinación de la ayuda y servicios de apoyo,Países en Vías de Desarrollo (No Especificado),500000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04901
z11-25-01-04802,Protección y asistencia en rutas migratorias,OIM - Organización Internacional para las Migraciones,"15190 - Facilitar la migración y movilidad ordenada, segura, regular y responsable",Países en Vías de Desarrollo (No Especificado),2100000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04802
z11-25-01-04801,Prevención del desplazamiento interno,OIM - Organización Internacional para las Migraciones,"15190 - Facilitar la migración y movilidad ordenada, segura, regular y responsable","Chad, Haití, Honduras, Nigeria",1000000.0,2025-01-01,datos.aecid.es/lista-de-intervenciones,https://datos.aecid.es/w/z11-25-01-04801
